"","tract","year","count","population","crimerate"
"459","002900",2018,225,3364,66.884661117717
"460","002900",2019,240,3364,71.3436385255648
"461","003000",2010,466,2854,163.279607568325
"462","003000",2011,523,2854,183.251576734408
"463","003000",2012,593,2854,207.778556412053
"464","003000",2013,559,2854,195.865451997197
"465","003000",2014,573,2854,200.770847932726
"466","003000",2015,608,2854,213.034337771549
"467","003000",2016,505,2854,176.944639103013
"468","003000",2017,451,2854,158.02382620883
"469","003000",2018,422,2854,147.862648913805
"470","003000",2019,390,2854,136.650315346882
"471","003100",2010,232,2439,95.1209512095121
"472","003100",2011,264,2439,108.241082410824
"473","003100",2012,296,2439,121.361213612136
"474","003100",2013,349,2439,143.091430914309
"475","003100",2014,325,2439,133.251332513325
"476","003100",2015,395,2439,161.951619516195
"477","003100",2016,405,2439,166.051660516605
"478","003100",2017,367,2439,150.471504715047
"479","003100",2018,330,2439,135.30135301353
"480","003100",2019,302,2439,123.821238212382
"481","003200",2010,296,3957,74.804144553955
"482","003200",2011,253,3957,63.9373262572656
"483","003200",2012,330,3957,83.3965125094769
"484","003200",2013,344,3957,86.9345463735153
"485","003200",2014,294,3957,74.2987111448067
"486","003200",2015,289,3957,73.0351276219358
"487","003200",2016,239,3957,60.3992923932272
"488","003200",2017,273,3957,68.9916603487491
"489","003200",2018,218,3957,55.0922415971696
"490","003200",2019,185,3957,46.7525903462219
"491","003301",2010,140,2828,49.5049504950495
"492","003301",2011,148,2828,52.3338048090523
"493","003301",2012,168,2828,59.4059405940594
"494","003301",2013,125,2828,44.2008486562942
"495","003301",2014,150,2828,53.041018387553
"496","003301",2015,144,2828,50.9193776520509
"497","003301",2016,145,2828,51.2729844413013
"498","003301",2017,120,2828,42.4328147100424
"499","003301",2018,109,2828,38.5431400282885
"500","003301",2019,148,2828,52.3338048090523
"501","003302",2010,77,1856,41.4870689655172
"502","003302",2011,80,1856,43.1034482758621
"503","003302",2012,133,1856,71.6594827586207
"504","003302",2013,89,1856,47.9525862068966
"505","003302",2014,102,1856,54.9568965517241
"506","003302",2015,118,1856,63.5775862068965
"507","003302",2016,137,1856,73.8146551724138
"508","003302",2017,106,1856,57.1120689655172
"509","003302",2018,157,1856,84.5905172413793
"510","003302",2019,141,1856,75.9698275862069
"511","003400",2010,218,3997,54.5409056792594
"512","003400",2011,243,3997,60.7955966975231
"513","003400",2012,332,3997,83.0622967225419
"514","003400",2013,263,3997,65.7993495121341
"515","003400",2014,291,3997,72.8046034525894
"516","003400",2015,237,3997,59.2944708531398
"517","003400",2016,341,3997,85.3139854891168
"518","003400",2017,207,3997,51.7888416312234
"519","003400",2018,244,3997,61.0457843382537
"520","003400",2019,253,3997,63.2974731048286
"521","003500",2010,210,3398,61.8010594467334
"522","003500",2011,221,3398,65.0382577987051
"523","003500",2012,272,3398,80.0470865214832
"524","003500",2013,333,3398,97.9988228369629
"525","003500",2014,354,3398,104.178928781636
"526","003500",2015,312,3398,91.8187168922896
"527","003500",2016,511,3398,150.382577987051
"528","003500",2017,445,3398,130.959387875221
"529","003500",2018,437,3398,128.605061801059
"530","003500",2019,432,3398,127.133608004709
"531","003600",2010,245,3680,66.5760869565217
"532","003600",2011,250,3680,67.9347826086956
"533","003600",2012,207,3680,56.25
"534","003600",2013,240,3680,65.2173913043478
"535","003600",2014,263,3680,71.4673913043478
"536","003600",2015,262,3680,71.195652173913
"537","003600",2016,274,3680,74.4565217391304
"538","003600",2017,181,3680,49.1847826086957
"539","003600",2018,179,3680,48.6413043478261
